query_id,question,current_category,current_gold_paragraph_ids,top_candidate_paragraph_ids,top_candidate_score,top_candidate_terms,top_candidate_snippet,flags,suggested_action,rationale
q_051,Does the remote work policy say employees can work from home 3 days but the attendance policy require 5 days in office?,contradiction,"internal_policy_handbook_v2::p0003::i0000::06a108ae6638,it_security_addendum_2025::p0010::i0000::2f11ad6d4db3","it_security_addendum_2025::p0010::i0000::2f11ad6d4db3,internal_policy_handbook_v2::p0003::i0003::4ac9f6f1cedd,it_security_addendum_2025::p0010::i0002::c1185648ca2d,internal_policy_handbook_v2::p0003::i0000::06a108ae6638,business_continuity_plan::p0006::i0001::1b79d125164c",0.1579,"5,attendance,days,office,remote","9. Staff Attendance and Office Presence All employees are expected to maintain a minimum of 5 days per week in-office presence, effective fr...",ok,keep_as_is,
q_052,Is data encryption both required and optional depending on classification?,contradiction,"internal_policy_handbook_v2::p0009::i0001::473f875998b1,it_security_addendum_2025::p0009::i0000::183a741f2188","dpia_guide::p0001::i0000::084629488e46,it_security_addendum_2025::p0009::i0002::bc360aab40fa,internal_policy_handbook_v2::p0001::i0000::cdb4351a4c4c,internal_policy_handbook_v2::p0004::i0000::11385c4051c6,it_security_addendum_2025::p0001::i0000::c97033220ded",0.1176,"classification,data",Data Protection Impact Assessment Guide Version 2.0 - January 2025 Classification: INTERNAL,ok,keep_as_is,
q_053,Does the policy both require and prohibit personal device use?,contradiction,"internal_policy_handbook_v2::p0003::i0002::4ff99839f515,it_security_addendum_2025::p0004::i0001::6729c3546e07","internal_policy_handbook_v2::p0014::i0000::22101d8d9bb7,it_security_addendum_2025::p0004::i0000::66b6d23278dd,internal_policy_handbook_v2::p0014::i0002::051345293182,internal_policy_handbook_v2::p0009::i0000::40d044dc00be,internal_policy_handbook_v2::p0003::i0002::4ff99839f515",0.0909,"device,personal,use","13. Bring Your Own Device (BYOD) Policy Employees may use personal devices (smartphones, tablets, laptops) for work purposes subject to the ...",ok,keep_as_is,
q_054,Are passwords required to be changed every 30 days in one section but every 90 days in another?,contradiction,"internal_policy_handbook_v2::p0005::i0000::efdcaf0bd522,it_security_addendum_2025::p0003::i0000::d2a928aa94b0","internal_policy_handbook_v2::p0005::i0000::efdcaf0bd522,it_security_addendum_2025::p0003::i0000::d2a928aa94b0,hr_procedures_manual::p0006::i0000::c5b562c71675,it_security_addendum_2025::p0007::i0002::2222d06834aa,internal_policy_handbook_v2::p0005::i0001::33c21bb359ec",0.1875,"90,changed,days,every,one",4. Password and Authentication Policy All employees must use strong passwords for all company systems. Passwords must meet the following min...,ok,keep_as_is,
q_055,Does the policy both allow and forbid remote access from public networks?,contradiction,"internal_policy_handbook_v2::p0015::i0001::d2998ba49253,it_security_addendum_2025::p0004::i0000::66b6d23278dd","it_security_addendum_2025::p0004::i0000::66b6d23278dd,internal_policy_handbook_v2::p0005::i0002::15202f861778,internal_policy_handbook_v2::p0015::i0003::dd20768553c8,it_security_addendum_2025::p0004::i0001::6729c3546e07,internal_policy_handbook_v2::p0010::i0001::a429d2df3997",0.1081,"access,networks,public,remote","3. Network Access and Remote Connectivity Access to company systems from public Wi-Fi networks is now strictly prohibited, including when us...",ok,keep_as_is,
q_056,Is USB storage both permitted and prohibited?,contradiction,"internal_policy_handbook_v2::p0009::i0001::473f875998b1,it_security_addendum_2025::p0005::i0000::6eabd902931d","it_security_addendum_2025::p0005::i0002::428ac0906786,it_security_addendum_2025::p0005::i0000::6eabd902931d,internal_policy_handbook_v2::p0009::i0001::473f875998b1,internal_policy_handbook_v2::p0009::i0000::40d044dc00be,internal_policy_handbook_v2::p0012::i0001::c7df2f0fd915",0.125,"permitted,storage,usb","Physical media transfer of any kind requires CISO approval. USB peripherals (keyboards, mice, headsets) remain permitted but must be non-sto...",ok,keep_as_is,
q_057,Are visitors both allowed and not allowed in secure areas?,contradiction,"internal_policy_handbook_v2::p0010::i0001::a429d2df3997,it_security_addendum_2025::p0006::i0000::ebbe0ac102b2","it_security_addendum_2025::p0006::i0000::ebbe0ac102b2,internal_policy_handbook_v2::p0010::i0001::a429d2df3997,it_security_addendum_2025::p0008::i0003::f2aa763d4638,internal_policy_handbook_v2::p0010::i0002::ce27530db5f5,it_security_addendum_2025::p0013::i0002::173ec5e73a54",0.1071,"areas,secure,visitors","5. Visitor Access to Secure Areas Visitors may be granted temporary escorted access to secure areas, including server rooms, under the follo...",ok,keep_as_is,
q_058,Does the training policy require annual training while another section says quarterly?,contradiction,"internal_policy_handbook_v2::p0008::i0000::d1d53fadf698,it_security_addendum_2025::p0007::i0000::2e1e33ef9b59","it_security_addendum_2025::p0007::i0000::2e1e33ef9b59,business_continuity_plan::p0007::i0003::11c6fd89e99a,business_continuity_plan::p0007::i0000::d58cc83f5edc,it_security_addendum_2025::p0002::i0001::265cc8e324a2,it_security_addendum_2025::p0008::i0000::62b34b482a0a",0.1154,"annual,quarterly,training","6. Training Frequency Security awareness training must be completed quarterly by all employees, superseding the annual requirement in the ha...",ok,keep_as_is,
q_059,Is manager approval both required and not required for data sharing?,contradiction,"internal_policy_handbook_v2::p0004::i0003::4d117dedb93a,it_security_addendum_2025::p0008::i0000::62b34b482a0a","it_security_addendum_2025::p0008::i0000::62b34b482a0a,it_security_addendum_2025::p0008::i0003::f2aa763d4638,it_security_addendum_2025::p0008::i0002::de89668d0686,it_security_addendum_2025::p0008::i0001::e4c0ec5f558d,internal_policy_handbook_v2::p0004::i0003::4d117dedb93a",0.1429,"approval,data,manager,sharing","7. Data Sharing Approval Process For operational efficiency, sharing of INTERNAL-classified data with approved external partners does not re...",ok,keep_as_is,
q_060,Does the policy require minimum 8 character passwords in one place and 12 in another?,contradiction,"internal_policy_handbook_v2::p0005::i0000::efdcaf0bd522,it_security_addendum_2025::p0003::i0000::d2a928aa94b0","internal_policy_handbook_v2::p0005::i0000::efdcaf0bd522,it_security_addendum_2025::p0003::i0000::d2a928aa94b0,it_security_addendum_2025::p0003::i0001::327dc7c43423,internal_policy_handbook_v2::p0005::i0001::33c21bb359ec,it_security_addendum_2025::p0013::i0000::b391aa03f395",0.1562,"8,character,minimum,one,passwords",4. Password and Authentication Policy All employees must use strong passwords for all company systems. Passwords must meet the following min...,ok,keep_as_is,
q_061,What happens to accrued leave when an employee transfers departments?,unanswerable,,"it_security_addendum_2025::p0011::i0002::161ab3ee8096,internal_policy_handbook_v2::p0018::i0000::2397f1492705,dpia_guide::p0003::i0001::43221c9c8b2c,business_continuity_plan::p0006::i0002::804a02362ded,hr_procedures_manual::p0009::i0002::7121ca2702e5",0.0476,departments,Monthly endpoint compliance reports are generated and shared with department heads. Departments with less than 95% compliance on EDR deploym...,ok,keep_as_is,
q_062,Does the company offer sabbatical leave?,unanswerable,,"internal_policy_handbook_v2::p0017::i0000::7e5507484069,business_continuity_plan::p0006::i0002::804a02362ded,hr_procedures_manual::p0003::i0002::04a71c2961b2,hr_procedures_manual::p0006::i0002::8c5195f8b5ea,hr_procedures_manual::p0006::i0001::deb71c875e84",0.0323,offer,16. Anti-Bribery and Corruption Policy The company has a zero-tolerance policy towards bribery and corruption in all its forms. This policy ...,ok,keep_as_is,
q_063,What is the policy on moonlighting or secondary employment?,unanswerable,,"hr_procedures_manual::p0002::i0001::8f3cd99ab52d,hr_procedures_manual::p0007::i0000::79d6a3fb9ccd,hr_procedures_manual::p0004::i0000::3a0d666b6de8,business_continuity_plan::p0005::i0003::c6094c65bf63,internal_policy_handbook_v2::p0011::i0000::8fcca5a66916",0.0455,employment,"All procedures described herein have been reviewed by the Legal team for compliance with UK employment law, including the Employment Rights ...",ok,keep_as_is,
